Name,BaseSalary,HRPercent,TRPercent,OtherPercent,PFPercent,ITPercent
Emily Williams,94304,24,19,5,8,4
Jane Smith,56760,24,10,6,13,7
David Doe,94510,20,19,5,10,3
John Jones,60884,14,16,15,13,4
Sarah Doe,58523,15,10,14,14,6
Jane Jones,64801,12,12,7,13,3
Jane Taylor,103703,18,18,12,14,7
Laura Davis,74254,12,16,15,12,3
David Brown,97825,18,20,5,15,8
Sarah Smith,107163,22,15,11,11,7
Laura Johnson,107085,14,20,9,11,7
Emily Johnson,97258,24,17,6,15,8
Chris Wilson,60166,20,17,10,12,5
John Miller,54017,25,14,13,8,8
Michael Jones,49535,17,15,10,12,6
Alex Taylor,61990,21,10,9,9,7
Jane Jones,62581,19,19,12,8,7
Chris Doe,101127,23,12,6,15,6
Emily Taylor,63262,19,17,12,10,5
David Miller,101724,19,20,15,9,7
Laura Jones,58792,11,13,15,15,3
John Miller,73304,16,16,13,11,3
John Davis,115831,23,11,13,10,4
Michael Jones,118101,22,17,12,9,7
Laura Johnson,75266,19,12,10,9,7
Anna Williams,98767,22,13,5,15,3
Emily Miller,72601,11,12,11,15,3
John Taylor,103219,15,15,13,9,3
John Jones,69534,19,12,15,9,8
Chris Jones,100200,22,12,14,8,5
Sarah Brown,55762,20,19,11,10,4
David Johnson,90632,16,16,12,13,6
Laura Miller,85072,16,13,9,15,6
Anna Jones,52300,11,10,8,13,3
Emily Johnson,74603,13,19,15,10,4
Sarah Williams,78545,16,12,11,12,6
Alex Miller,92995,15,10,9,13,6
Jane Davis,94541,20,20,14,9,8
Jane Taylor,50298,20,17,6,14,4
Laura Miller,77015,22,12,8,14,8
Anna Williams,52852,24,11,9,8,5
Alex Brown,62187,14,15,10,15,6
Laura Miller,114470,22,17,9,11,6
Chris Wilson,64059,24,18,15,9,3
Laura Miller,62662,18,15,14,11,6
Sarah Smith,96199,20,16,5,10,8
Anna Doe,58623,17,16,8,11,5
Laura Davis,72101,13,19,10,14,7
John Davis,118544,20,12,9,10,5
Sarah Smith,105000,13,11,14,15,5
Sarah Wilson,64359,11,15,8,15,8
Michael Johnson,55297,19,16,5,9,3
David Doe,84488,10,13,9,9,6
Jane Miller,85940,19,18,15,12,4
Chris Wilson,45007,24,10,11,13,4
Michael Johnson,85467,10,19,9,15,5
Laura Wilson,119154,18,15,14,15,3
Laura Doe,41973,10,15,7,8,4
Anna Doe,57800,19,12,5,14,6
Chris Taylor,108652,23,17,11,12,4
Sarah Smith,49437,14,14,10,9,7
Laura Taylor,80375,14,13,7,9,4
Anna Smith,59443,22,14,6,14,6
John Wilson,42626,20,14,9,13,3
Alex Smith,59557,11,15,8,9,3
Chris Miller,80489,18,13,7,10,7
John Miller,74972,24,20,8,9,4
John Taylor,59856,17,11,12,13,8
Alex Doe,49630,10,18,5,11,7
Jane Doe,86456,15,14,8,11,6
Jane Brown,87745,15,12,9,13,7
John Taylor,80222,25,12,12,13,7
Anna Smith,70431,12,20,6,8,3
John Wilson,111401,17,17,7,8,5
Anna Williams,74553,15,14,9,11,3
Michael Jones,117481,25,20,8,10,7
Michael Brown,50595,16,19,13,8,5
Chris Smith,108218,21,12,10,14,7
Laura Davis,62499,13,16,11,11,5
John Williams,94192,24,20,6,11,5
Emily Miller,44386,15,17,10,12,4
David Williams,84458,24,12,12,13,7
Alex Wilson,50091,21,11,14,11,5
Anna Wilson,45728,23,19,9,11,7
Anna Jones,55002,23,10,13,9,3
Emily Johnson,112881,19,11,13,14,8
Sarah Doe,83476,13,17,6,12,4
Alex Taylor,81762,20,13,6,14,4
John Brown,92569,11,19,9,13,7
Chris Jones,53084,15,18,5,10,5
Jane Doe,99490,21,13,13,9,6
David Wilson,78027,19,19,5,14,7
Laura Johnson,96173,12,18,7,8,3
Laura Smith,84634,14,13,13,10,6
Alex Smith,103230,24,14,11,8,7
Chris Wilson,71389,16,12,12,14,6
Chris Johnson,114069,24,20,14,9,6
Emily Williams,103393,11,16,12,11,5
Alex Brown,98921,21,17,13,10,5
Emily Taylor,108418,15,11,12,9,8
Emily Williams,108178,14,11,15,13,5
Michael Smith,64245,23,12,9,9,3
Jane Miller,66851,14,10,8,13,7
Sarah Smith,118477,13,14,6,10,8
John Smith,40332,13,14,5,11,4
David Davis,94217,18,20,8,14,7
Anna Williams,96384,24,18,5,11,4
Emily Williams,83807,13,11,14,15,8
Jane Wilson,110636,14,20,9,12,3
Michael Johnson,65930,22,18,14,8,4
David Jones,109899,16,11,10,12,6
Emily Johnson,64595,20,20,5,9,6
Michael Brown,115980,16,15,15,14,3
David Jones,112271,12,15,15,9,4
Emily Johnson,90758,20,18,5,13,8
David Jones,79539,12,11,6,11,7
Laura Davis,76390,13,15,13,8,5
Anna Smith,60316,20,13,6,11,6
Laura Williams,71965,11,10,6,14,8
David Smith,114340,23,17,6,14,7
Chris Williams,76549,12,20,9,14,3
John Brown,83564,24,18,15,12,5
Jane Jones,77647,24,11,10,11,8
David Jones,70726,10,15,7,11,5
Chris Jones,69740,16,14,9,11,4
Laura Doe,95314,21,18,6,13,8
Alex Johnson,56652,20,13,7,15,7
Chris Wilson,91978,25,17,6,11,8
Jane Taylor,66623,25,19,8,13,4
Chris Brown,90753,19,14,15,11,7
Laura Jones,84099,11,16,12,10,3
Jane Jones,77867,23,17,10,15,4
Chris Wilson,78292,10,10,14,12,8
Anna Jones,105468,18,11,11,15,5
Jane Doe,99265,13,14,11,12,4
Chris Williams,68298,24,12,7,9,8
Sarah Doe,66738,16,17,5,13,6
Alex Doe,47940,10,18,6,14,8
Laura Smith,49695,12,10,6,14,8
John Jones,96592,23,10,13,13,8
Jane Smith,63623,10,19,12,11,3
Sarah Smith,103927,23,16,13,11,3
Sarah Smith,45991,17,13,9,9,4
John Doe,63762,15,15,5,9,4
Sarah Williams,67638,11,19,6,13,6
John Wilson,89085,18,12,11,8,6
Chris Davis,113039,20,11,5,10,5
Chris Wilson,61563,14,17,14,9,7
Michael Taylor,74997,22,20,8,10,3
Sarah Jones,90073,23,11,14,8,4
Sarah Smith,80227,10,18,5,13,6
Michael Davis,110749,23,15,15,13,4
Jane Wilson,49963,11,11,7,8,7
Laura Wilson,56756,18,12,11,8,8
Emily Jones,77586,16,18,7,13,3
Chris Jones,72884,20,17,5,14,5
John Smith,97320,19,13,7,15,4
Laura Doe,49872,16,17,10,8,6
Anna Wilson,66510,18,12,8,11,8
John Williams,66588,24,12,13,9,8
Alex Miller,111957,23,15,11,13,3
Alex Williams,90629,12,11,13,10,7
Laura Davis,115730,20,20,9,15,4
Sarah Taylor,45904,12,17,12,9,4
Emily Davis,71780,14,19,8,14,6
Jane Doe,78557,19,19,13,12,3
Alex Brown,100808,12,13,14,12,5
Emily Johnson,118975,19,19,6,14,3
David Doe,90382,10,12,6,11,8
Alex Miller,44575,20,17,15,8,3
Alex Doe,89689,10,14,6,8,6
Emily Davis,50531,14,20,11,13,6
Anna Wilson,78252,12,14,6,14,3
Laura Miller,83767,21,18,14,13,6
David Jones,113832,24,17,7,12,7
Alex Smith,111939,15,17,7,9,8
Michael Williams,90324,11,19,8,8,7
Emily Johnson,112898,21,13,9,8,6
Michael Jones,84527,22,17,10,8,6
David Brown,84655,18,16,7,13,3
Jane Miller,90447,16,19,9,13,7
Alex Johnson,119812,17,15,8,14,5
Sarah Smith,84724,18,10,9,15,5
Chris Doe,116341,21,10,7,9,7
Chris Taylor,104678,19,20,14,10,5
John Miller,74731,18,16,10,12,7
Anna Williams,42574,14,11,13,13,8
Chris Smith,48094,19,10,10,8,4
Anna Doe,47281,25,18,15,8,4
Emily Davis,76904,13,18,13,12,8
Laura Davis,95793,11,11,8,9,3
Alex Davis,116012,20,12,6,14,5
Laura Miller,74992,24,10,5,8,7
Chris Jones,49845,16,13,5,10,6
Chris Brown,63889,18,10,13,9,5
Sarah Johnson,106897,23,19,7,13,4
Michael Jones,94829,22,10,10,12,7
Anna Doe,73908,22,20,12,9,8
Michael Johnson,103961,16,14,15,8,3
Alex Brown,49670,16,14,8,15,7
Jane Brown,68561,15,14,13,8,4
Anna Brown,66402,16,14,5,9,4
Alex Brown,105753,14,17,15,11,4
Michael Brown,56372,20,13,13,14,8
Michael Davis,74566,10,20,13,10,3
Sarah Wilson,70897,22,18,6,10,4
Anna Wilson,66350,19,14,5,13,5
Michael Johnson,94551,13,14,6,8,8
Alex Taylor,52676,20,11,15,10,6
Emily Brown,61031,16,18,9,15,8
John Brown,118284,24,16,12,13,3
Chris Davis,58602,10,17,12,9,7
Sarah Smith,101418,10,15,7,13,6
Chris Wilson,50251,11,10,9,9,6
John Brown,72981,14,12,5,8,3
Michael Taylor,61811,13,15,15,14,3
David Wilson,110844,18,13,12,11,7
Laura Miller,105010,20,15,8,13,8
Alex Williams,54833,21,11,7,9,3
David Miller,119755,11,20,14,8,7
Michael Johnson,76245,25,10,11,9,7
Laura Johnson,108553,17,19,6,10,6
John Brown,116568,22,12,13,10,4
Sarah Wilson,56790,16,17,8,11,8
Laura Taylor,101274,18,17,12,15,7
Chris Jones,47401,25,13,6,13,3
Michael Williams,56936,14,18,13,15,3
Jane Doe,84774,17,12,6,9,5
Emily Davis,55471,22,14,5,14,3
Sarah Brown,86049,13,14,6,12,4
Alex Jones,108388,15,12,12,9,4
Emily Smith,85680,10,12,11,11,6
Emily Smith,107371,12,13,9,12,5
Chris Doe,114110,16,19,5,10,3
Emily Johnson,112829,10,20,14,13,4
Laura Johnson,69461,14,13,12,8,8
David Johnson,45782,22,16,11,8,5
Laura Doe,117303,12,16,9,10,5
Michael Wilson,55862,18,18,5,15,5
John Miller,97254,16,18,11,9,4
Jane Wilson,114829,10,20,15,11,5
David Brown,43043,18,16,10,12,8
Anna Jones,109004,24,11,7,10,5
Laura Smith,44243,11,17,9,11,3
Anna Doe,42049,20,11,14,9,4
Anna Smith,66190,20,10,14,13,6
Michael Wilson,99618,22,16,7,12,7
John Johnson,82481,13,11,12,15,3
Michael Jones,86086,15,17,15,14,8
David Johnson,98915,15,12,8,12,6
John Brown,110626,22,10,9,14,6
Anna Davis,62815,16,17,14,13,8
John Davis,52097,25,14,13,13,5
Jane Wilson,75977,19,19,9,15,3
Anna Johnson,105541,14,14,10,13,8
Alex Johnson,112353,11,15,11,9,4
Alex Wilson,115427,23,10,5,8,5
Alex Wilson,43575,17,14,5,12,8
Sarah Brown,106905,18,11,11,8,7
Jane Brown,86203,21,12,10,8,7
Jane Jones,49755,13,14,6,11,3
Alex Taylor,101428,19,18,8,10,6
Chris Miller,78629,15,16,10,14,4
Emily Taylor,65176,20,12,8,10,4
Emily Brown,49004,23,19,15,14,5
Anna Davis,110506,18,10,9,11,3
Anna Williams,93968,15,14,6,9,6
Jane Taylor,81100,12,15,14,8,5
Sarah Miller,88325,13,10,15,10,3
Sarah Johnson,74187,20,16,9,9,7
Anna Doe,88804,13,19,6,13,7
Jane Smith,65114,23,20,12,10,4
Jane Smith,74476,24,20,13,15,6
Chris Brown,62871,16,20,15,10,7
Laura Williams,116529,24,11,7,8,6
John Jones,91796,15,14,13,10,8
Sarah Doe,102552,12,18,12,14,6
Alex Williams,107456,17,13,13,15,5
David Miller,70925,11,11,7,10,4
Jane Doe,107813,19,16,7,8,7
Anna Doe,99827,12,13,10,8,6
David Wilson,85498,15,17,15,9,4
Anna Williams,56091,11,15,9,12,7
Jane Wilson,109179,16,16,14,11,5
Alex Miller,79568,16,10,13,13,7
Alex Brown,40836,16,18,8,9,3
Alex Jones,118461,16,14,8,12,3
Jane Brown,63404,17,16,14,11,4
Anna Jones,96334,25,15,7,9,4
Emily Smith,92008,11,14,14,15,5
Jane Doe,82736,19,10,11,12,3
Sarah Miller,49465,18,14,8,11,4
David Doe,64306,20,15,14,10,3
Alex Doe,55582,13,19,13,10,8
John Johnson,105640,15,10,15,15,7
Alex Smith,55325,22,17,13,14,8
Alex Davis,60923,20,16,10,13,8
Chris Jones,46242,10,18,15,13,3
David Miller,106352,15,17,9,13,7
Michael Johnson,45873,23,13,15,8,4
Emily Williams,70447,24,20,12,12,6
Chris Jones,99733,22,13,14,15,8
Emily Davis,117912,16,10,5,10,7
Jane Miller,57634,10,16,15,12,4
David Williams,74331,19,16,13,11,6
Emily Brown,43301,25,11,13,10,7
Emily Brown,97166,15,16,12,14,7
Sarah Taylor,56180,17,18,10,10,7
Alex Miller,46297,20,12,11,12,3
Emily Wilson,47466,24,20,11,9,6
Anna Brown,63017,14,19,10,13,7
Michael Taylor,44951,11,20,7,8,7
Chris Miller,45605,23,16,13,11,8
Michael Williams,54331,20,16,6,15,8
Alex Jones,76916,23,16,14,13,7
Alex Johnson,106193,25,19,8,9,8
Laura Johnson,41546,22,18,13,9,5
Alex Davis,110026,25,12,8,12,4
John Smith,64521,18,19,13,11,7
Alex Johnson,90728,16,15,12,9,5
Emily Taylor,105276,18,14,9,9,6
Sarah Smith,103144,21,19,9,12,6
Emily Johnson,56569,14,19,14,13,5
Anna Johnson,93217,15,14,6,9,8
Anna Williams,86024,10,16,8,9,3
Emily Davis,95331,20,16,10,15,8
John Miller,41522,25,11,9,10,8
Chris Smith,96793,20,13,5,10,7
Sarah Doe,101737,25,19,10,13,5
Sarah Smith,75338,24,10,8,11,6
Jane Miller,69594,23,14,10,9,6
Anna Miller,46649,15,10,7,10,3
Emily Doe,94827,21,15,10,10,3
David Doe,112461,21,20,8,8,8
Emily Smith,87154,15,17,8,13,7
Jane Taylor,42600,11,15,11,11,5
John Wilson,73752,13,11,8,8,5
Anna Taylor,56604,22,16,11,8,8
Jane Williams,70254,23,17,7,9,3
Anna Wilson,52901,13,13,14,10,4
Sarah Davis,115122,23,12,11,12,6
David Wilson,57992,17,20,12,10,4
Alex Jones,93722,22,20,11,11,3
David Miller,61274,25,20,12,10,3
Emily Wilson,47288,14,19,8,14,3
Michael Taylor,96607,12,17,5,14,8
Chris Doe,45395,21,19,7,12,6
Anna Davis,51654,18,20,9,9,6
Michael Johnson,57906,13,12,6,12,4
Jane Williams,115204,25,13,6,15,8
Michael Brown,83475,17,12,11,14,4
Emily Doe,88600,22,12,14,15,8
Chris Wilson,99530,20,13,10,11,3
John Taylor,116468,16,14,14,11,4
Alex Miller,97755,23,11,14,10,4
Laura Johnson,57906,23,19,5,9,8
Jane Brown,53574,18,20,9,13,3
Anna Miller,79908,14,12,11,13,3
Alex Wilson,96598,22,18,13,8,8
Jane Davis,101877,23,11,9,14,8
Michael Miller,115023,22,14,6,11,8
David Wilson,40741,15,10,11,11,4
Alex Taylor,89348,14,10,13,13,3
John Taylor,95146,25,18,6,10,5
David Williams,111450,13,20,12,8,6
John Davis,116058,20,10,14,10,6
Michael Doe,62516,15,15,10,14,8
Anna Johnson,58398,20,11,15,8,3
Anna Johnson,67369,20,15,7,12,7
Jane Jones,112632,18,15,6,11,5
Laura Davis,51005,16,13,15,9,4
Emily Johnson,89801,25,16,14,11,3
Jane Johnson,84911,21,10,5,11,7
David Williams,58620,17,17,11,14,8
Jane Miller,91503,25,16,6,9,7
David Doe,61361,13,18,15,9,4
David Wilson,56225,16,17,5,14,5
Michael Doe,83201,14,17,8,14,3
Emily Smith,53520,16,10,10,15,6
Jane Wilson,60156,25,17,13,10,4
Emily Brown,84144,21,20,15,10,6
Anna Brown,57716,13,10,7,9,6
Laura Davis,42930,15,10,8,15,3
Laura Smith,80887,13,13,12,8,7
Laura Wilson,117528,17,20,13,8,3
Sarah Davis,41288,24,18,14,11,4
Michael Miller,81360,14,20,7,9,8
Sarah Jones,55475,17,12,9,15,6
Michael Davis,80099,22,13,12,8,8
Emily Smith,58871,22,10,14,12,7
John Jones,73755,13,15,10,10,7
Anna Johnson,41197,12,13,7,9,4
Alex Miller,63721,20,13,9,8,4
Emily Miller,107881,25,20,5,9,3
Alex Jones,68694,17,18,9,11,7
Laura Williams,64000,13,19,14,15,3
Sarah Taylor,41590,22,19,10,10,4
Emily Miller,92995,10,12,8,11,8
John Taylor,93910,14,14,8,9,3
Emily Wilson,82204,16,19,13,9,3
Emily Johnson,44938,14,12,14,9,5
John Taylor,81571,13,10,15,14,4
John Doe,106024,23,12,6,12,4
Anna Johnson,101668,24,20,15,10,5
Alex Johnson,57492,10,12,14,11,6
Emily Williams,76412,12,11,7,14,6
Chris Taylor,66306,19,15,7,15,4
Laura Brown,87396,10,13,12,12,6
Jane Wilson,40829,23,11,6,10,7
David Wilson,70209,13,17,11,10,5
Chris Johnson,93130,19,19,7,13,8
Chris Miller,115164,14,19,6,11,3
David Jones,69818,24,18,15,13,8
Sarah Williams,84234,20,17,13,15,6
Michael Johnson,75335,17,13,14,15,8
Sarah Brown,111829,24,14,15,11,7
Emily Davis,56972,13,14,5,8,6
Laura Miller,59234,17,11,15,9,7
Michael Miller,90462,23,16,10,12,3
Sarah Miller,46294,18,11,13,15,4
Anna Johnson,91976,15,15,13,13,6
Alex Jones,98162,18,16,13,12,3
John Miller,53703,23,16,9,12,4
Laura Brown,67257,13,15,7,9,8
Anna Doe,83566,11,17,5,9,4
Alex Miller,85553,16,18,12,13,4
Alex Jones,58759,24,12,15,9,8
Anna Miller,111861,22,10,9,8,8
Alex Brown,117786,15,10,14,10,3
Anna Jones,92052,23,16,14,14,5
Sarah Doe,100766,18,18,8,12,7
Laura Miller,62735,24,11,7,12,3
Jane Miller,95145,13,12,6,9,3
Sarah Johnson,53677,13,16,5,8,8
Anna Davis,71975,11,11,14,13,5
John Smith,59360,13,14,7,15,6
David Williams,90439,18,13,11,11,3
Laura Jones,95496,19,18,12,15,6
Emily Williams,50245,12,10,11,13,7
John Davis,97146,21,16,11,9,4
Anna Brown,71737,11,14,5,13,7
Laura Wilson,55123,16,18,10,10,5
John Brown,99218,21,17,14,12,7
Alex Davis,59592,13,14,7,8,4
David Wilson,48978,22,14,5,8,7
Alex Williams,118317,23,19,13,11,5
John Brown,91444,18,12,6,14,4
Michael Johnson,115271,21,10,10,13,6
Chris Miller,47370,18,13,10,8,4
David Jones,116861,15,15,9,9,3
Jane Wilson,49780,20,14,15,9,6
John Smith,92165,17,10,11,10,8
Laura Jones,93486,13,13,10,12,6
Alex Johnson,88414,17,17,13,15,3
David Miller,49257,16,10,15,8,7
David Smith,67631,17,13,14,14,8
Michael Johnson,101609,15,16,15,14,7
Emily Jones,47529,21,12,9,13,7
Anna Miller,50742,11,18,12,9,5
John Wilson,72909,17,14,7,9,3
Emily Johnson,40775,15,15,12,14,7
David Williams,48846,10,15,15,15,6
Laura Smith,97664,19,18,6,8,3
Chris Taylor,76120,25,11,14,12,5
Laura Miller,53582,13,14,7,15,3
Chris Miller,63056,10,20,13,11,8
Chris Johnson,95918,18,20,10,15,3
David Wilson,45340,24,15,11,14,6
Michael Jones,66931,12,14,15,8,5
Laura Williams,117492,12,20,9,13,3
David Miller,100925,10,15,12,12,3
Michael Doe,45994,13,11,12,8,4
Sarah Johnson,58161,13,16,5,10,8
Jane Wilson,115272,23,13,6,9,5
Michael Doe,73022,10,19,15,11,7
Sarah Brown,41205,10,16,10,11,7
Jane Johnson,116375,10,14,11,14,3
David Davis,68542,24,19,9,15,8
Jane Doe,43614,11,19,13,15,7
Alex Miller,78674,21,10,13,10,4
Chris Davis,50189,19,14,11,11,7
Emily Brown,99982,22,13,11,8,3
Sarah Wilson,95622,10,16,5,13,4
Laura Miller,106307,19,13,6,8,3
David Johnson,99478,15,17,13,8,7
Jane Taylor,42413,14,13,6,8,7
Sarah Brown,54192,14,12,8,8,5
