Name,BaseSalary,HRPercent,TRPercent,OtherPercent,PFPercent,ITPercent
Anna Brown,102365,15,11,7,10,5
John Smith,63743,22,13,5,11,3
Alex Doe,101683,20,12,7,8,8
David Jones,96884,22,17,5,8,5
Michael Jones,46969,20,14,11,15,5
John Doe,85899,18,17,5,14,5
Michael Smith,87314,18,16,11,13,3
Anna Doe,106806,19,15,15,10,4
Emily Jones,46281,10,15,6,11,4
Emily Jones,69351,13,11,7,8,8
Michael Smith,78207,18,16,13,14,4
Sarah Davis,40825,15,15,7,15,8
Anna Smith,79302,24,14,12,12,7
John Wilson,109922,14,20,12,8,8
Alex Jones,49332,15,10,11,10,3
Sarah Jones,98943,12,18,15,11,4
David Doe,55061,21,18,15,15,5
Jane Jones,93102,24,16,11,9,7
Michael Miller,100575,13,14,6,8,6
Sarah Davis,62526,21,16,11,9,4
Michael Jones,42350,12,17,9,8,3
John Jones,57016,25,19,5,9,3
Laura Doe,97336,23,15,5,11,6
Sarah Jones,53428,18,14,6,15,5
Jane Taylor,60921,15,16,15,14,6
Alex Williams,111120,11,15,7,9,4
Laura Johnson,76365,10,14,7,12,8
David Davis,59525,20,10,5,9,5
Alex Doe,60075,18,14,6,8,6
Anna Johnson,102750,16,19,7,10,8
Emily Jones,64052,14,16,15,14,3
Anna Jones,100227,10,17,13,11,3
Emily Taylor,97571,22,13,13,10,4
David Davis,83928,25,19,10,8,4
Laura Jones,66152,15,18,13,9,5
Sarah Davis,107695,10,20,10,11,5
Jane Wilson,73962,15,12,15,12,7
Anna Brown,69811,19,14,6,12,5
Alex Doe,50364,13,11,8,11,3
David Smith,48889,22,13,6,14,7
Jane Taylor,58126,23,15,14,11,3
Chris Williams,119872,15,11,7,13,5
David Smith,75384,25,20,6,10,4
John Smith,119351,18,19,12,11,4
Alex Doe,93063,20,17,11,15,3
Chris Miller,75956,13,16,5,12,6
Michael Jones,84989,15,12,9,10,3
Anna Williams,45841,22,16,9,8,4
Emily Taylor,92092,10,15,15,15,7
Michael Williams,97279,10,13,9,14,8
Michael Jones,111322,22,13,12,10,6
Laura Jones,58276,15,19,7,15,3
Laura Johnson,115357,18,12,10,11,8
Laura Brown,51370,23,16,15,11,3
Anna Jones,103927,12,19,11,14,6
Anna Taylor,72885,16,13,6,13,5
Anna Smith,83991,12,13,6,15,8
Sarah Smith,57638,13,12,5,12,8
Jane Taylor,98510,16,11,15,11,6
Alex Brown,119149,24,20,8,13,7
Michael Jones,96882,11,13,5,14,3
Laura Smith,60953,14,12,10,13,3
David Doe,118913,23,20,9,10,3
John Miller,60909,13,20,5,12,8
Michael Johnson,53911,17,17,12,13,5
David Brown,80780,16,15,8,12,8
John Smith,62674,19,16,11,8,6
Anna Doe,107857,18,11,13,9,8
Emily Wilson,49104,13,15,10,12,8
Emily Taylor,80470,16,10,6,11,3
Michael Johnson,93749,17,18,8,13,8
Michael Johnson,80875,20,13,11,12,7
Laura Johnson,58644,22,13,11,14,3
Anna Williams,106471,19,12,5,8,7
David Williams,112507,25,12,12,12,7
Emily Davis,96010,25,20,14,9,7
Emily Miller,95330,25,14,10,9,7
John Taylor,92774,19,10,6,10,8
John Miller,52602,16,20,14,9,3
Michael Smith,49208,10,20,13,15,4
Alex Miller,105561,21,10,14,11,3
Chris Wilson,62965,24,20,9,14,4
John Smith,106487,23,17,13,8,5
John Johnson,87545,19,15,9,13,6
John Taylor,85265,24,17,9,11,3
Jane Miller,111566,22,20,8,14,6
Jane Jones,56404,18,20,14,11,7
Michael Taylor,76274,23,14,11,11,4
Chris Brown,106413,23,17,6,8,4
John Doe,102297,14,10,11,13,6
Laura Wilson,112861,20,11,15,11,8
Emily Johnson,66480,24,11,6,14,8
John Miller,101275,15,12,6,14,4
Jane Johnson,80266,20,20,9,11,6
Chris Davis,89421,22,16,7,9,5
John Smith,77030,14,15,15,12,3
Anna Davis,99112,14,12,5,13,8
Jane Brown,58013,24,18,5,12,4
John Johnson,99626,17,19,11,12,5
Alex Taylor,115573,21,13,10,10,3
Laura Taylor,66841,15,18,14,8,5
David Doe,83139,11,18,13,10,8
Sarah Brown,86247,12,10,15,13,7
John Taylor,83603,24,10,13,10,7
David Wilson,59287,25,13,15,9,3
Chris Williams,64966,18,18,7,10,6
Michael Smith,91663,24,20,8,14,5
Laura Smith,42848,12,11,12,8,5
Anna Johnson,110544,21,15,14,9,6
John Miller,71887,24,17,8,13,7
Jane Williams,59542,20,10,8,11,4
John Doe,109470,24,15,15,14,4
David Davis,68200,25,18,5,10,5
Emily Jones,53161,12,12,9,13,5
Michael Doe,93446,11,12,14,10,4
Alex Williams,95750,19,14,6,15,8
Sarah Taylor,83792,25,17,6,15,5
Sarah Brown,110971,10,12,11,12,7
Alex Doe,68155,12,13,5,9,8
David Wilson,110055,10,20,11,13,4
Sarah Wilson,113785,24,17,13,13,5
Sarah Doe,109269,14,19,6,11,8
Laura Williams,102509,13,10,7,8,5
Chris Doe,56622,15,18,8,9,4
Emily Smith,102649,23,17,11,14,3
John Taylor,53388,19,14,11,11,5
Sarah Davis,117675,22,13,15,8,8
Anna Taylor,115592,21,12,7,8,6
Alex Johnson,116382,18,17,15,13,6
David Brown,50466,13,20,14,15,8
Emily Davis,88981,17,12,9,8,5
John Taylor,113197,18,10,10,15,7
Chris Doe,77786,11,15,5,14,5
Anna Williams,116271,12,13,13,15,4
Alex Davis,86845,23,11,13,9,5
Michael Williams,68952,10,13,15,10,6
Emily Taylor,74482,19,16,11,9,7
John Miller,46832,11,20,14,15,7
Michael Wilson,87306,11,10,5,8,3
Sarah Taylor,80333,22,10,9,13,8
Emily Smith,66030,18,19,15,13,6
Anna Miller,101516,12,14,14,14,4
Jane Johnson,54480,11,20,7,12,4
Alex Miller,97841,10,18,13,15,7
Emily Jones,58821,16,12,12,8,4
Michael Johnson,69454,15,13,11,10,7
Jane Brown,59799,20,17,14,13,5
Alex Taylor,81056,16,12,7,10,3
Sarah Taylor,50744,13,16,14,10,7
Jane Taylor,47297,20,16,8,14,5
Sarah Davis,116198,15,11,7,11,3
Chris Davis,99557,18,14,11,13,7
Sarah Doe,79263,12,16,5,11,5
Laura Williams,45436,16,20,10,12,8
Michael Jones,43425,12,19,9,12,4
Anna Miller,79289,20,20,9,14,7
Jane Jones,47529,17,17,9,9,5
Jane Wilson,59166,23,20,9,13,8
Alex Jones,103531,14,11,5,9,5
John Davis,57754,20,10,14,12,6
Sarah Johnson,106635,17,13,11,11,3
David Johnson,108535,13,12,5,10,5
Emily Williams,44253,25,15,8,8,4
Alex Johnson,104557,23,16,14,9,6
Chris Wilson,54489,10,10,15,9,7
Jane Davis,81700,19,20,10,9,3
Emily Johnson,57499,21,14,12,8,6
Sarah Taylor,74436,21,19,14,10,4
Emily Wilson,43969,25,14,7,14,6
Anna Taylor,113768,17,11,12,13,6
Michael Johnson,83821,25,10,13,8,7
Chris Jones,117891,14,10,5,8,7
Anna Smith,80242,16,16,14,8,7
Laura Williams,58651,16,19,14,12,5
Michael Davis,60646,19,18,6,10,7
John Davis,119658,24,18,9,15,3
Jane Smith,78057,16,10,9,11,3
Sarah Brown,48636,25,12,11,9,6
Anna Williams,60755,15,18,9,15,7
John Smith,50789,25,14,9,10,8
Alex Brown,98057,12,15,15,15,6
Emily Miller,93254,23,15,12,11,3
David Williams,73323,13,15,9,11,4
John Jones,55340,17,10,12,14,4
Jane Jones,78699,16,11,15,8,3
John Miller,119630,20,15,10,11,6
Chris Miller,87110,20,19,5,11,8
Michael Doe,77899,22,10,13,8,4
Alex Taylor,118293,18,19,8,15,8
Alex Davis,63340,20,16,10,14,5
Sarah Miller,40744,19,19,9,10,5
Laura Brown,41454,17,13,11,8,6
Alex Davis,110121,20,14,13,10,8
Chris Johnson,84954,12,17,10,9,3
Laura Williams,105789,21,10,6,9,6
Michael Jones,41911,20,12,9,14,7
Michael Wilson,92922,23,10,11,15,3
Sarah Doe,42544,17,14,11,15,7
Chris Taylor,57952,10,20,8,14,4
David Brown,48665,10,12,15,13,6
Jane Davis,116019,23,19,13,13,3
Anna Doe,98894,22,11,12,15,6
Jane Doe,62797,22,16,15,13,8
Chris Jones,118833,16,13,6,8,5
John Williams,98351,10,15,8,8,3
Chris Taylor,96780,20,20,9,15,7
Chris Miller,81010,14,17,10,11,8
Laura Doe,94140,18,15,14,10,6
Chris Smith,112401,12,12,14,8,4
Emily Wilson,106546,18,18,6,13,5
David Davis,109074,10,17,10,15,4
Michael Wilson,111812,19,12,5,14,5
Laura Wilson,75073,22,10,6,12,7
Chris Brown,77422,10,14,9,11,3
Jane Miller,65452,11,18,8,11,4
Alex Doe,60535,20,16,12,12,3
Alex Davis,72784,21,11,8,11,4
John Davis,79571,16,11,7,13,7
Chris Williams,58587,24,16,13,10,8
David Brown,56840,23,10,5,10,8
Alex Doe,43512,22,17,14,13,4
David Smith,116342,17,17,7,15,4
Anna Taylor,79428,22,11,13,8,4
Michael Jones,104739,14,13,13,15,8
Jane Williams,99711,12,10,14,14,6
Jane Wilson,98430,15,18,7,9,4
John Johnson,84860,20,12,13,10,7
John Taylor,90553,24,19,12,14,7
Michael Doe,66539,13,20,15,12,6
Emily Brown,68775,15,11,8,15,8
Chris Davis,48194,20,13,9,14,4
Laura Jones,101920,15,18,6,11,6
Michael Miller,112815,18,15,15,10,7
John Jones,88046,17,17,11,10,7
Laura Doe,76570,18,10,6,13,4
Alex Doe,68701,25,20,12,9,3
Sarah Miller,101198,16,18,12,10,8
David Miller,107770,22,20,6,10,6
Alex Smith,40285,22,13,15,14,4
Laura Davis,89141,15,13,14,8,6
David Williams,76514,16,20,8,9,8
Chris Taylor,90360,24,19,6,12,8
David Wilson,45553,14,16,10,11,5
Laura Brown,56580,12,17,9,9,7
Emily Smith,72174,20,19,5,9,3
Chris Jones,53964,18,17,9,10,8
Emily Jones,96759,21,18,7,10,7
Jane Williams,90420,14,18,12,8,7
Laura Miller,99284,12,20,5,12,3
Sarah Williams,54118,15,13,11,8,7
Emily Brown,97764,24,13,14,14,8
John Brown,115771,25,11,11,15,5
Michael Davis,95171,20,18,13,10,7
Emily Jones,65642,16,18,6,14,7
Michael Davis,46318,25,10,12,8,5
Laura Davis,41358,15,20,13,13,7
Chris Williams,60932,10,15,8,8,3
Emily Davis,80727,22,14,12,8,8
Michael Miller,41924,10,15,7,15,5
Anna Jones,99162,18,20,12,9,3
David Davis,94887,21,20,10,13,7
Sarah Wilson,74949,17,19,6,8,3
Emily Jones,72677,22,12,13,9,8
Emily Taylor,61312,13,11,12,14,8
Chris Jones,57086,25,16,13,14,5
David Wilson,84224,20,10,5,14,5
Anna Brown,44242,19,18,10,11,4
Laura Johnson,100874,17,16,13,14,8
Alex Miller,111984,11,12,11,14,7
Jane Taylor,57426,16,18,9,8,7
Anna Davis,60935,17,14,15,11,7
Anna Miller,43126,22,14,15,10,3
Jane Jones,59306,22,15,13,9,6
John Smith,103050,23,19,11,11,8
Emily Brown,58997,21,19,14,14,7
Sarah Taylor,62367,12,17,13,8,8
Laura Davis,119262,17,18,15,8,6
David Johnson,97576,16,18,13,15,4
Jane Johnson,117005,23,14,13,15,8
Alex Brown,101605,21,16,15,9,3
Anna Miller,89255,23,17,10,14,6
Jane Brown,95362,23,16,12,12,5
Michael Doe,78563,14,12,15,8,4
Laura Williams,111548,14,11,5,13,4
Emily Jones,83427,23,14,15,13,8
Jane Miller,92886,21,14,8,8,3
Sarah Wilson,54585,22,13,11,9,5
David Taylor,63234,16,16,6,10,7
Sarah Taylor,108344,23,15,10,10,3
Chris Williams,92174,21,10,11,10,6
Emily Brown,72078,16,16,15,12,4
David Williams,117880,16,20,11,15,8
Emily Doe,119293,20,18,9,9,6
John Taylor,41792,13,17,6,9,8
Jane Wilson,64754,16,20,10,10,4
Sarah Doe,116205,24,13,12,9,6
Sarah Smith,60959,13,19,9,14,3
Alex Jones,40620,16,18,7,15,6
John Taylor,63515,24,20,5,9,7
Chris Davis,63447,11,20,7,9,4
David Johnson,55972,17,20,15,9,3
Alex Brown,77104,18,15,6,11,5
Laura Jones,101228,12,18,13,10,4
Chris Doe,50639,25,14,7,9,7
Jane Taylor,40575,19,16,14,12,3
Alex Johnson,90054,17,14,15,9,3
Alex Wilson,87307,15,20,12,14,4
Chris Johnson,42900,16,16,7,15,6
Laura Smith,116588,18,11,13,11,8
Anna Jones,101032,24,17,8,13,4
Michael Taylor,66171,14,15,13,13,4
Laura Davis,104784,10,12,10,14,4
Chris Wilson,85928,12,12,13,13,4
John Brown,61134,19,15,8,12,7
Laura Wilson,52572,17,10,13,14,7
Laura Jones,96339,11,19,13,8,3
Anna Williams,110896,23,11,12,8,5
Anna Brown,65531,10,18,14,12,8
Chris Smith,66911,20,17,8,14,8
John Miller,79306,20,18,12,15,4
Sarah Davis,71784,22,19,14,10,3
Alex Miller,98643,18,14,10,13,5
Alex Doe,69374,16,13,6,12,8
Laura Williams,111995,24,11,10,8,4
Laura Doe,63621,16,11,12,10,6
Emily Smith,93962,13,17,5,11,5
Sarah Brown,77782,22,15,7,13,4
Laura Doe,89199,16,10,15,10,3
Anna Brown,91453,15,18,5,11,3
John Miller,118370,12,14,7,15,7
Jane Doe,114602,12,16,8,8,7
Sarah Williams,97747,11,15,8,10,4
Anna Williams,83645,25,17,8,14,6
Sarah Taylor,99560,15,17,7,15,4
David Davis,111532,22,19,13,9,6
Anna Williams,112050,15,14,7,10,3
Alex Davis,86480,23,20,7,10,5
Michael Miller,81187,16,16,13,9,5
Laura Brown,56043,25,19,7,12,4
David Smith,66144,22,15,14,9,3
Jane Wilson,73419,11,18,12,14,4
Chris Smith,48393,20,15,5,9,7
Emily Taylor,57605,23,10,15,11,4
Michael Davis,79889,13,18,14,14,3
Alex Johnson,93236,16,11,7,10,7
Jane Wilson,54867,17,18,8,11,6
Laura Taylor,88836,21,13,10,13,8
Jane Davis,104758,14,10,5,12,8
John Johnson,40875,15,12,6,8,8
Emily Taylor,45933,14,16,8,9,4
David Smith,57579,14,13,9,11,7
David Smith,89894,20,15,13,13,6
Alex Brown,72331,12,20,10,15,6
Laura Wilson,84230,21,20,15,10,4
Michael Taylor,70276,24,20,15,13,6
Emily Jones,54989,22,13,5,10,3
David Williams,105117,17,20,11,12,3
John Williams,65059,21,12,5,10,6
Anna Wilson,86785,14,12,7,14,3
Anna Jones,41609,12,12,15,8,6
John Davis,114375,19,13,8,12,3
Alex Brown,110373,14,11,14,15,8
Anna Williams,94522,16,17,8,14,7
David Brown,84341,25,14,12,11,6
Michael Williams,88041,21,17,10,9,8
Michael Taylor,64883,19,12,12,8,5
Jane Johnson,84364,14,16,6,13,5
Jane Davis,68396,21,16,12,8,8
Laura Brown,96712,13,10,10,8,6
Laura Jones,73060,12,10,11,12,5
Sarah Williams,66481,15,16,15,14,6
Sarah Miller,114433,12,20,9,11,4
Alex Jones,49806,23,18,15,10,7
Alex Wilson,48602,16,14,11,13,7
Anna Brown,68280,20,15,5,10,5
Chris Doe,85147,15,15,7,12,7
Jane Jones,58215,13,13,10,15,7
Laura Miller,97270,21,11,10,15,4
Alex Wilson,103276,11,14,15,8,6
Sarah Williams,42083,16,17,6,14,5
Laura Johnson,84519,19,12,15,8,7
Anna Brown,110887,14,12,14,15,6
Anna Jones,111867,18,20,14,8,3
Alex Brown,108008,19,13,11,15,5
John Doe,80970,20,14,11,8,6
Michael Doe,112760,21,18,15,14,8
Emily Taylor,98476,19,18,13,15,8
Michael Brown,73230,16,12,15,15,5
