Name,BaseSalary,HRPercent,TRPercent,OtherPercent,PFPercent,ITPercent
Anna Smith,111109,25,12,7,11,8
Anna Brown,109730,21,13,10,13,5
Anna Taylor,83213,21,12,15,10,3
John Taylor,71362,17,11,8,14,7
Michael Smith,63910,24,11,5,8,7
Emily Taylor,62307,11,14,10,13,8
Emily Doe,73480,21,18,11,12,7
Chris Jones,53744,22,18,10,9,4
Anna Doe,110030,10,13,14,14,5
Michael Smith,50936,24,12,5,10,7
Sarah Williams,62278,21,18,5,12,3
David Jones,113849,13,12,6,13,6
David Davis,74384,17,17,10,10,6
Sarah Johnson,98745,18,16,6,15,8
Emily Taylor,47047,12,16,15,9,7
Jane Davis,87054,22,11,13,14,3
David Doe,83460,23,15,15,8,7
Chris Jones,100096,21,12,8,14,8
Michael Taylor,117574,18,19,5,14,5
Sarah Johnson,118586,15,15,5,8,8
Alex Brown,65401,12,12,5,9,8
Jane Wilson,91401,15,13,10,8,4
David Smith,102860,23,19,15,8,8
David Williams,51217,10,16,11,14,8
Emily Miller,72815,11,14,9,11,7
Sarah Miller,116532,11,20,15,14,8
Sarah Doe,81635,21,20,14,12,5
Sarah Taylor,73391,19,10,6,10,4
Michael Johnson,112084,24,10,6,8,5
Sarah Johnson,92996,13,20,10,9,7
Jane Davis,57370,21,16,7,11,7
Chris Brown,64178,21,14,11,15,5
Anna Wilson,50408,16,10,15,15,4
Sarah Williams,41391,19,18,6,11,6
Laura Johnson,76831,23,20,5,8,6
Anna Miller,115778,10,11,9,8,8
Anna Williams,92738,21,17,15,13,5
David Brown,83198,12,18,10,14,4
Laura Davis,119082,16,15,13,13,5
Chris Taylor,83526,21,16,14,12,6
Alex Davis,40213,16,17,5,15,8
John Smith,59339,16,14,7,9,8
Anna Davis,93928,20,13,5,8,7
Emily Williams,98448,18,16,13,15,5
Laura Miller,98045,14,15,8,8,6
Michael Jones,53380,15,20,5,10,4
John Johnson,57233,22,19,10,8,8
David Williams,111855,11,18,9,14,6
Emily Doe,90254,15,17,7,15,3
Sarah Johnson,74824,17,15,8,11,7
Sarah Jones,87357,19,11,9,15,4
Jane Miller,116452,13,17,13,13,6
Chris Doe,47392,15,14,8,13,7
Laura Wilson,66890,17,14,11,10,8
John Williams,78097,10,16,5,12,4
Jane Davis,75160,25,12,13,10,7
Laura Smith,53223,19,18,8,10,7
Laura Jones,94739,23,11,7,14,4
John Davis,88689,14,11,12,9,8
Anna Miller,64033,14,20,14,15,7
Anna Miller,118008,20,16,14,14,4
Jane Johnson,91510,20,10,13,8,4
Chris Brown,86211,11,20,11,12,8
Chris Taylor,50666,12,17,10,11,4
David Wilson,103494,19,15,12,14,5
Laura Brown,82590,16,10,13,12,7
Sarah Smith,107635,20,20,14,12,3
John Smith,94495,25,15,10,12,6
David Doe,74858,20,12,9,15,3
Anna Miller,109119,22,11,6,13,7
Anna Brown,57863,19,19,7,10,4
Sarah Smith,43610,10,19,5,13,3
Sarah Johnson,108869,17,13,7,12,8
Emily Doe,108438,12,17,5,11,3
Jane Smith,102346,15,16,7,11,3
Sarah Taylor,97707,13,18,12,14,7
Michael Brown,108749,16,15,7,8,6
Michael Brown,66084,12,20,15,8,7
Jane Doe,49069,13,10,15,10,3
David Davis,104587,25,12,5,15,6
Sarah Jones,114642,17,11,10,9,7
Alex Miller,77943,13,11,8,15,5
Anna Johnson,66198,13,19,7,11,8
Emily Jones,55219,12,18,15,15,8
Chris Williams,42587,11,12,11,14,8
Laura Taylor,43203,21,11,10,12,3
Chris Wilson,94057,14,15,14,13,4
Jane Wilson,47106,18,16,14,13,3
Laura Taylor,43490,22,11,11,10,6
Laura Taylor,81648,20,11,15,11,7
Sarah Williams,98972,20,16,9,9,5
Chris Doe,113071,12,16,13,9,8
Jane Brown,105622,22,15,6,11,4
David Johnson,62730,25,10,8,10,3
Chris Smith,79505,17,12,6,15,7
John Wilson,43721,19,16,5,10,3
Jane Miller,99060,13,12,10,13,6
Sarah Wilson,43370,23,14,9,10,6
John Miller,102265,23,14,12,15,3
Jane Brown,104125,10,10,9,15,6
Emily Jones,117756,19,15,8,14,7
Jane Wilson,116684,18,11,15,15,8
John Johnson,95299,24,12,8,15,5
Jane Jones,76728,15,15,14,9,5
Sarah Wilson,51940,15,12,12,8,3
Michael Johnson,76980,16,10,11,14,4
Alex Brown,60840,18,15,5,15,6
Emily Williams,92769,16,18,10,8,8
Alex Wilson,51705,10,13,5,10,3
Anna Brown,60449,22,20,15,10,5
Jane Brown,116348,17,12,10,8,8
Sarah Miller,118866,23,11,8,13,4
David Williams,110271,21,19,11,15,4
Sarah Davis,67530,17,20,15,11,5
David Jones,46202,15,16,11,8,7
Laura Johnson,88988,10,16,12,13,8
Emily Jones,84348,17,19,13,11,5
Emily Taylor,54919,25,14,10,15,7
Jane Doe,88176,18,15,10,12,6
David Smith,57634,19,17,13,8,5
Alex Johnson,88650,10,14,5,9,3
Emily Williams,99364,15,10,6,10,7
Michael Davis,100343,15,20,6,13,6
Sarah Taylor,77714,24,20,13,12,7
Alex Taylor,95267,10,12,15,10,4
David Miller,57971,11,12,5,11,7
Jane Wilson,58652,12,14,7,10,5
David Williams,92277,11,14,7,14,4
Michael Taylor,45718,13,14,12,14,8
David Wilson,116009,20,11,9,8,5
Michael Miller,81990,17,17,6,12,5
Chris Davis,72120,20,15,7,10,7
Emily Williams,43981,20,11,6,10,6
Anna Williams,48395,18,17,8,14,8
Laura Miller,95786,15,20,13,15,8
Jane Johnson,106010,25,14,5,9,5
David Davis,96942,24,19,7,10,6
Laura Davis,73613,16,12,5,12,8
Jane Williams,91663,19,12,10,10,6
Jane Brown,87186,15,10,10,15,7
Emily Wilson,84299,14,12,10,9,5
Emily Jones,52327,24,19,9,12,5
Alex Jones,92700,20,13,14,11,5
Chris Brown,119948,24,16,5,8,3
David Taylor,82237,21,18,13,14,3
David Williams,112253,21,13,8,12,6
Anna Jones,116923,19,12,9,8,5
Sarah Wilson,113457,19,10,10,10,3
Chris Jones,91906,11,18,10,8,6
John Davis,47188,11,18,7,8,8
Chris Wilson,84624,24,19,7,11,7
Chris Brown,96143,20,18,11,15,5
Jane Johnson,44768,21,11,6,12,6
Laura Jones,70494,22,13,5,14,3
Sarah Taylor,49927,22,20,10,8,7
Anna Miller,63562,20,19,11,13,4
Emily Johnson,46504,16,20,8,14,7
Laura Johnson,104777,19,12,10,8,5
Michael Davis,66000,15,19,7,12,5
Sarah Smith,83619,11,17,11,14,4
Chris Davis,67480,16,15,11,12,4
Alex Jones,64166,18,17,7,14,6
Alex Williams,57600,12,17,8,10,4
Chris Brown,60013,13,20,7,15,7
John Miller,109286,22,12,7,15,7
Laura Wilson,116766,23,18,9,13,4
Jane Johnson,77760,16,10,15,11,5
John Williams,47207,15,14,13,12,7
Anna Johnson,102864,12,11,12,12,3
John Miller,113824,16,18,10,8,5
Alex Smith,88228,16,15,7,13,3
Anna Wilson,63619,18,12,9,9,8
Emily Smith,54076,21,20,7,15,5
Emily Wilson,69874,11,11,8,10,3
Michael Wilson,61138,25,19,5,14,5
Emily Doe,110791,14,13,11,12,3
Chris Smith,50293,11,18,13,13,6
Chris Smith,115980,22,18,9,8,7
Anna Brown,61805,12,15,13,13,4
Anna Brown,82169,16,16,7,15,6
Jane Williams,53098,13,14,11,12,4
Michael Taylor,118328,25,17,15,10,6
John Williams,107000,14,10,14,14,8
Laura Williams,73343,24,11,7,8,7
Alex Brown,119722,13,19,14,9,4
Anna Wilson,99136,14,15,12,14,8
David Johnson,63614,19,11,15,9,7
Jane Williams,88924,13,16,13,10,8
Alex Doe,77725,23,11,9,15,4
Sarah Jones,79925,25,20,11,10,3
Laura Brown,64472,24,15,12,10,7
Laura Williams,95806,22,14,9,8,5
Emily Johnson,101619,16,18,5,12,7
Jane Doe,65324,18,14,13,12,7
Chris Williams,72366,16,18,6,15,6
Jane Doe,62884,16,10,7,8,6
John Doe,97330,18,16,7,8,6
Anna Wilson,52856,14,12,15,12,3
Alex Taylor,79252,20,16,13,12,7
Michael Brown,72629,22,19,11,15,7
Michael Brown,105478,17,13,6,10,5
Anna Davis,50497,23,11,12,11,6
David Wilson,117242,10,16,8,14,3
David Wilson,47654,10,19,9,14,4
Emily Taylor,46027,20,17,6,14,3
Jane Doe,81669,14,10,7,13,4
Anna Taylor,109419,22,12,7,13,4
Chris Davis,63998,19,17,15,8,4
Alex Doe,106555,21,16,5,11,4
Emily Williams,69570,11,20,5,14,5
Sarah Wilson,47139,22,12,7,12,6
Laura Miller,72704,23,18,7,10,4
Michael Johnson,109013,18,20,12,8,6
John Williams,78273,17,18,13,15,5
Michael Brown,87243,10,17,5,9,6
Emily Brown,60589,23,18,11,10,7
Anna Taylor,93837,11,16,7,11,6
Alex Miller,110287,15,11,10,13,6
John Taylor,57282,10,19,10,15,4
Chris Jones,86087,23,18,8,12,3
Sarah Taylor,96607,23,14,15,8,7
Anna Doe,48741,19,10,15,13,6
Laura Taylor,78193,14,19,5,9,3
Anna Taylor,87460,20,18,14,8,5
Emily Johnson,73491,10,15,5,12,4
Chris Williams,103450,23,13,8,13,8
Alex Miller,104466,17,10,12,9,8
Michael Doe,51450,10,16,15,13,3
David Williams,79812,17,15,8,12,8
Alex Williams,92368,15,18,11,15,3
Emily Jones,114312,16,15,15,11,7
David Smith,107974,22,11,12,11,5
Chris Taylor,86502,18,18,10,15,5
Sarah Williams,106238,15,20,12,13,3
David Jones,107326,21,19,9,10,6
Michael Jones,84989,19,19,14,14,5
Anna Williams,48883,25,18,10,9,6
David Wilson,98887,14,10,10,12,8
Laura Wilson,59953,23,12,8,14,8
Anna Taylor,79355,25,18,6,8,4
John Johnson,84795,15,11,14,14,8
Anna Johnson,82163,16,11,10,15,7
John Doe,84469,17,16,11,11,3
Anna Johnson,98959,16,18,11,15,6
Michael Miller,95927,15,14,13,13,3
Michael Jones,48278,23,15,15,10,7
David Taylor,108334,15,11,15,10,5
Laura Johnson,95449,23,18,13,13,5
Jane Brown,77557,16,11,14,11,8
Laura Brown,86410,17,10,15,15,7
Chris Doe,115651,12,11,9,14,5
Laura Wilson,75145,19,11,14,10,5
David Jones,79726,20,11,7,8,3
John Jones,60758,11,10,12,10,7
Michael Davis,54709,14,18,14,13,3
David Johnson,93187,23,10,11,15,8
David Doe,101312,22,10,8,10,7
Alex Doe,114167,19,17,15,10,4
David Davis,44538,24,18,12,8,7
Sarah Davis,60999,17,15,7,14,4
Chris Miller,100109,21,10,10,15,7
David Miller,80762,11,19,11,15,8
John Miller,90169,18,17,7,11,5
Anna Smith,87372,10,16,5,12,4
John Brown,43811,22,18,12,11,7
John Wilson,55624,15,10,11,10,3
Michael Miller,69775,20,11,7,8,3
Chris Miller,42253,12,14,11,11,7
Sarah Doe,82538,19,16,10,8,6
Sarah Wilson,111708,11,17,13,13,5
Michael Miller,49183,22,19,12,13,5
Anna Miller,108373,18,14,12,9,6
Chris Brown,53970,14,13,8,14,3
Chris Smith,83175,21,16,12,15,5
Michael Johnson,45269,21,10,11,9,3
Jane Smith,109474,12,13,15,8,8
Emily Taylor,90451,13,11,11,12,6
Alex Williams,52699,16,16,10,11,6
Laura Smith,104377,14,16,10,11,5
Alex Wilson,59116,22,10,13,11,6
Laura Taylor,60049,23,14,9,13,4
Emily Taylor,83906,17,14,13,9,5
Emily Wilson,90598,15,14,15,8,3
Anna Smith,70964,21,16,14,14,5
Chris Brown,118968,15,13,11,15,3
Emily Davis,44950,23,14,9,14,3
John Brown,119165,25,12,13,13,8
Michael Doe,64348,16,14,9,11,3
David Smith,101814,17,17,12,12,4
Chris Jones,103264,17,12,13,13,3
Anna Taylor,94451,24,11,14,15,5
David Williams,106451,25,20,15,12,3
Laura Wilson,47260,18,20,13,9,8
Michael Johnson,93213,16,16,11,11,5
Chris Doe,81410,18,19,14,13,3
Michael Taylor,41373,18,10,11,13,5
Anna Johnson,46089,21,18,13,12,6
Sarah Taylor,89383,11,18,6,13,6
Laura Johnson,49297,16,19,6,10,6
Emily Doe,68286,20,10,15,12,4
Chris Taylor,65895,20,16,5,10,4
Michael Davis,60205,23,15,10,9,6
Sarah Miller,81612,18,10,5,12,3
Jane Taylor,109747,25,20,13,14,3
Jane Williams,98642,10,17,6,15,8
Emily Taylor,94775,19,11,14,13,6
Michael Wilson,43800,12,14,11,14,3
Michael Taylor,65292,22,14,7,15,6
David Johnson,94620,14,15,5,14,7
Chris Miller,90081,16,12,12,11,5
Michael Wilson,112107,24,13,12,13,8
John Brown,110457,15,15,10,10,4
John Miller,53407,12,10,12,13,8
David Johnson,104582,16,16,7,13,4
Anna Brown,89379,24,16,10,12,3
Emily Williams,92009,11,10,14,14,8
Alex Davis,99975,14,20,13,12,7
Emily Doe,101929,21,11,9,13,7
Sarah Wilson,76173,18,17,10,8,4
David Taylor,52485,18,14,11,11,5
Emily Williams,96420,22,12,8,12,6
Jane Wilson,87132,16,19,6,13,7
Anna Wilson,75987,12,15,12,8,5
Sarah Smith,92688,15,17,9,10,5
Emily Jones,70082,21,20,11,9,8
Laura Johnson,118118,14,13,7,12,7
Michael Taylor,100213,15,20,6,11,4
Anna Jones,40329,13,20,10,9,4
John Wilson,110832,11,16,14,14,4
David Smith,75294,19,19,11,13,7
John Jones,90240,15,14,13,9,8
Anna Wilson,67254,16,11,7,13,8
Anna Johnson,81520,20,16,7,10,4
David Miller,64916,17,16,6,15,5
Laura Williams,94176,24,10,5,10,4
Emily Miller,69150,21,11,12,14,6
Laura Davis,119578,13,10,13,12,7
Anna Wilson,67169,17,12,6,14,7
Laura Smith,102649,24,15,14,9,5
Sarah Miller,109250,13,16,10,8,6
John Miller,58299,10,10,15,15,8
Sarah Miller,99984,18,19,7,10,5
John Smith,86075,24,16,15,11,3
David Brown,94658,17,10,13,11,3
Alex Williams,45508,25,17,10,12,5
David Wilson,97177,25,12,7,9,6
David Smith,96248,16,19,12,15,4
Sarah Davis,83843,16,16,8,9,8
Jane Doe,42672,23,10,9,13,6
Anna Wilson,101886,12,18,5,11,6
Alex Johnson,105805,18,15,12,14,3
Michael Johnson,74996,24,15,7,11,5
Jane Taylor,109388,24,13,11,14,7
Michael Johnson,50901,20,11,14,15,3
Chris Taylor,59572,13,15,11,8,4
David Davis,57536,14,20,5,14,4
John Jones,115392,24,18,8,8,6
David Williams,47880,16,13,8,13,8
Emily Wilson,101229,17,20,5,11,8
Sarah Doe,92915,25,18,9,8,7
Jane Davis,49378,22,13,6,15,7
Alex Miller,60191,10,14,7,9,6
Alex Brown,62947,12,16,6,14,3
Emily Doe,103801,17,10,9,15,8
Anna Wilson,75883,21,16,12,14,3
Jane Wilson,53554,13,13,6,12,3
Alex Brown,76471,12,11,8,8,7
Anna Johnson,100794,20,18,5,15,6
Michael Davis,61858,16,13,8,13,4
Chris Miller,50072,20,11,10,15,4
John Miller,94153,12,18,14,12,8
John Davis,104427,14,12,12,12,8
Anna Jones,75660,18,14,8,15,5
David Williams,110741,23,20,7,14,7
Emily Brown,92123,16,16,8,12,6
Sarah Jones,107992,15,17,10,15,7
Alex Taylor,65739,17,14,9,10,3
Jane Williams,105188,17,18,8,15,4
Alex Brown,80701,14,13,6,8,7
Emily Wilson,106722,15,13,9,9,3
Michael Williams,119435,12,17,7,9,7
David Johnson,61725,24,12,5,14,5
Sarah Smith,61118,14,12,6,11,8
Anna Davis,90673,16,17,15,14,7
Jane Taylor,97358,21,17,8,15,5
Sarah Williams,107542,18,14,13,15,7
Chris Jones,62784,22,16,14,10,5
Michael Brown,80306,10,18,9,12,7
Laura Williams,81971,10,14,6,13,6
Anna Wilson,67255,18,11,12,8,4
Alex Smith,62627,13,12,15,9,3
Emily Miller,59158,12,16,11,14,7
Anna Davis,101083,18,12,11,8,8
Michael Jones,57385,10,15,14,10,7
Sarah Doe,64565,10,10,14,11,6
Jane Wilson,78017,11,13,10,11,6
Emily Brown,50846,23,16,6,11,8
Sarah Davis,94324,13,16,14,12,7
Laura Wilson,102313,19,14,13,8,4
David Doe,56383,13,18,5,15,8
Emily Doe,96231,14,15,11,11,5
John Wilson,54991,17,19,7,11,7
Chris Davis,41431,22,20,15,15,6
Chris Williams,92903,11,20,13,14,3
Alex Wilson,66824,24,15,8,11,8
Emily Taylor,88487,13,20,12,14,7
John Jones,68894,21,16,10,13,6
Chris Brown,105795,24,18,9,9,7
Alex Jones,43098,17,18,12,10,4
Alex Doe,69190,15,15,15,8,5
Emily Doe,67817,10,10,10,13,3
Laura Doe,48872,15,11,6,14,6
John Davis,48838,25,15,14,13,3
Chris Smith,63923,22,17,10,11,7
John Taylor,55422,22,18,11,8,7
Laura Doe,108876,12,13,5,9,3
Michael Williams,75252,22,10,6,15,3
Sarah Brown,86348,21,10,9,10,3
John Taylor,98270,15,10,11,8,7
Anna Doe,100386,21,15,10,14,7
Laura Davis,72305,25,15,11,9,3
Sarah Jones,65678,17,19,7,15,4
Chris Johnson,44168,16,20,13,12,7
Michael Williams,79846,21,13,15,15,8
Jane Jones,61139,21,19,15,12,8
Jane Miller,107188,22,14,10,8,6
Sarah Johnson,46426,22,10,6,13,6
Alex Miller,49437,22,11,9,13,3
Jane Taylor,98749,15,20,14,15,8
Jane Williams,88599,18,12,5,15,7
Emily Jones,80136,18,11,10,12,8
Alex Jones,45310,18,18,9,11,5
Jane Williams,95198,21,12,12,13,8
Emily Doe,40862,10,10,11,10,4
Anna Smith,114689,14,18,9,15,5
John Johnson,116789,25,18,15,12,7
Chris Brown,80520,19,13,11,9,7
David Wilson,52091,18,16,10,12,8
Laura Brown,75824,20,18,6,15,5
John Smith,64741,17,16,8,10,6
Chris Brown,46466,22,13,14,12,3
Jane Brown,94251,10,15,5,13,7
Laura Davis,87343,14,13,12,11,4
Emily Davis,51309,14,16,12,15,8
David Taylor,112725,20,13,12,15,3
Emily Johnson,49313,15,12,11,10,4
Anna Davis,79988,19,15,8,11,5
John Johnson,90008,14,19,10,13,5
David Smith,113928,12,15,6,10,5
Sarah Jones,109940,20,17,6,8,7
Chris Johnson,61070,22,20,9,9,7
John Doe,73957,19,13,11,13,8
Michael Wilson,77028,22,11,12,10,8
Anna Williams,51186,22,20,6,15,5
Anna Doe,53046,21,11,6,9,7
Alex Brown,98617,18,16,13,12,3
John Smith,44666,10,15,12,13,6
Michael Brown,62286,13,10,10,14,7
Sarah Doe,66232,12,10,14,8,4
Sarah Miller,60532,24,19,12,10,7
Anna Williams,42106,24,12,15,13,5
Anna Johnson,63932,15,10,14,15,7
Anna Johnson,78775,22,10,9,10,7
Michael Doe,106623,20,18,8,10,5
David Smith,101923,22,17,8,12,8
David Jones,113266,12,10,6,10,6
Emily Davis,92326,20,15,8,11,5
Michael Doe,85198,20,13,11,13,4
David Miller,46134,18,15,7,13,4
Sarah Brown,43547,22,13,6,14,5
John Wilson,78563,24,14,13,12,5
Emily Smith,55184,15,17,9,8,4
Chris Brown,114214,11,15,9,14,5
Michael Smith,114147,24,11,12,14,6
Alex Taylor,101382,14,17,14,15,6
Sarah Johnson,66966,10,18,10,13,6
Anna Smith,81603,16,16,11,15,5
Laura Miller,73174,12,16,12,9,6
Laura Brown,56432,20,13,8,9,4
Chris Smith,84041,10,20,7,8,6
Anna Miller,116474,22,20,8,13,7
John Miller,87051,19,12,11,15,5
Emily Miller,112295,10,13,5,14,5
Laura Wilson,106692,21,12,10,10,8
John Doe,71336,17,18,9,14,6
John Smith,103462,18,10,10,12,4
Michael Taylor,67322,25,13,13,8,6
Sarah Davis,78201,19,11,13,9,6
Sarah Miller,51836,11,13,14,15,8
David Smith,93842,19,15,8,12,7
Laura Jones,70146,10,14,13,8,6
Anna Jones,63942,23,20,12,8,4
Michael Johnson,80127,25,20,8,10,7
John Taylor,81275,10,18,10,12,4
Anna Miller,41219,16,14,15,10,6
Chris Smith,96797,15,10,8,9,4
Alex Wilson,63439,23,18,14,15,6
Chris Wilson,97042,11,16,14,13,3
David Smith,43680,25,13,9,9,5
Anna Brown,114043,22,13,8,14,3
Alex Johnson,107562,21,20,11,15,7
Chris Davis,87691,13,16,12,15,5
Michael Smith,87355,19,17,10,11,4
Michael Williams,54502,10,17,6,9,5
Anna Davis,82689,21,15,13,10,8
Emily Miller,96038,21,17,13,9,7
Jane Williams,46060,25,12,11,9,8
John Johnson,52416,15,15,11,8,3
Chris Doe,59198,18,14,6,13,8
Anna Davis,51575,10,20,7,11,5
Laura Taylor,97995,25,16,11,11,8
Chris Doe,44335,19,10,14,9,6
Alex Davis,115955,24,19,7,15,5
Jane Brown,116177,24,20,11,10,3
Alex Taylor,58978,23,16,7,9,8
Laura Doe,45080,14,15,13,10,3
Sarah Jones,60167,22,11,8,11,5
Emily Smith,68243,12,14,10,11,5
Alex Taylor,60679,18,18,8,8,7
Sarah Miller,68389,23,14,12,14,3
Michael Doe,78509,25,11,8,11,3
Sarah Taylor,109008,17,16,9,8,6
John Doe,90036,16,12,12,14,3
Jane Jones,57455,22,19,11,9,3
David Jones,73670,21,12,10,9,4
Emily Miller,73458,14,12,9,12,4
Alex Doe,70709,15,17,6,9,3
Jane Smith,88181,20,17,13,9,7
David Miller,101842,13,14,6,14,6
Alex Williams,73087,10,14,11,9,7
Sarah Williams,64246,13,17,15,15,6
Alex Jones,57498,17,18,12,8,5
David Taylor,44412,13,18,14,12,6
Chris Doe,66570,19,11,8,15,8
Laura Williams,50974,25,18,9,9,3
Laura Davis,54413,11,19,12,8,3
Sarah Davis,106582,10,11,6,10,3
Anna Doe,73315,13,15,9,15,3
Alex Taylor,97801,18,14,15,15,4
John Smith,113776,17,11,14,15,6
Anna Johnson,98482,17,15,15,9,6
Emily Williams,86330,21,14,11,13,7
Jane Williams,116334,17,18,14,13,7
Anna Brown,73637,17,12,9,11,6
Alex Davis,51255,18,12,10,11,8
Michael Miller,59720,11,19,8,8,6
Emily Johnson,42673,10,12,11,9,5
David Johnson,60059,25,13,10,8,6
John Jones,44993,18,15,14,10,5
Michael Smith,97002,13,19,12,13,8
Sarah Miller,60589,24,13,12,8,6
David Taylor,50644,13,14,14,15,4
Michael Taylor,99355,17,18,12,15,7
Jane Davis,102172,14,10,5,13,4
Anna Brown,53783,21,16,5,8,3
Laura Jones,65254,20,14,11,9,3
Laura Wilson,70898,21,15,10,14,5
Sarah Taylor,88920,14,10,15,14,5
Sarah Wilson,54486,16,11,14,14,3
John Jones,53178,22,17,5,9,5
Jane Johnson,45054,13,17,11,11,5
Sarah Wilson,84140,22,17,15,11,6
Chris Miller,40342,17,16,8,8,3
Emily Davis,78921,24,15,14,11,3
Michael Miller,52763,20,16,8,11,4
Michael Miller,59205,17,12,13,12,7
John Brown,46169,22,14,8,13,6
Alex Jones,105759,20,20,6,13,8
Anna Miller,54420,24,13,9,8,4
Sarah Davis,79559,17,14,14,12,7
Laura Wilson,92819,19,18,10,12,6
David Davis,70714,10,16,12,13,7
Emily Brown,98801,22,11,13,15,3
Laura Smith,89607,22,18,12,15,7
Jane Wilson,90386,13,20,12,14,5
Alex Davis,46734,24,14,6,8,7
Laura Taylor,71108,22,18,10,9,3
Anna Johnson,66892,21,10,15,14,6
Laura Taylor,79618,20,20,13,11,3
Chris Wilson,103084,22,17,15,14,5
Anna Taylor,77457,15,17,10,12,4
Jane Williams,58336,25,13,7,14,7
Emily Jones,92879,16,18,7,13,8
